id,first_name,second_name,web_name,team_name,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,form,selected_by_percent,transfers_in,transfers_out,ict_index,influence,creativity,threat,bonus,bps,value_season
184,Etienne,Green,Green,Burnley,GKP,40,0,0,0,0,0,0.0,0.2,4943,24191,0.0,0.0,0.0,0.0,0,0,0.0
185,Václav,Hladký,Hladký,Burnley,GKP,40,0,0,0,0,0,0.0,0.2,5082,9819,0.0,0.0,0.0,0.0,0,0,0.0
186,Connor,Roberts,Roberts,Burnley,DEF,44,0,0,0,0,0,0.0,0.0,761,7522,0.0,0.0,0.0,0.0,0,0,0.0
187,Kyle,Walker,Walker,Burnley,DEF,44,25,720,0,1,2,4.7,1.6,76547,128954,17.3,127.2,31.4,14.0,3,61,5.7
188,Hannes,Delcroix,Delcroix,Burnley,DEF,39,0,0,0,0,0,0.0,0.3,9933,19208,0.0,0.0,0.0,0.0,0,0,0.0
189,Owen,Dodgson,Dodgson,Burnley,DEF,40,0,0,0,0,0,0.0,0.0,0,2055,0.0,0.0,0.0,0.0,0,0,0.0
190,Hjalmar,Ekdal,Ekdal,Burnley,DEF,40,19,532,0,0,1,0.0,1.3,208146,94968,21.7,130.2,26.4,61.0,1,44,4.8
191,Maxime,Estève,Estève,Burnley,DEF,40,23,712,0,0,2,2.3,13.1,429202,991253,20.7,161.0,14.7,30.0,0,61,5.8
192,Quilindschy,Hartman,Hartman,Burnley,DEF,40,27,717,0,2,2,4.3,0.6,54054,40854,32.3,171.2,123.4,29.0,0,94,6.8
193,Bashir,Humphreys,Humphreys,Burnley,DEF,40,0,2,0,0,0,0.0,0.1,1913,3777,0.0,0.2,0.0,0.0,0,-5,0.0
194,Jordan,Beyer,Jordan,Burnley,DEF,40,0,0,0,0,0,0.0,0.1,911,12389,0.0,0.0,0.0,0.0,0,0,0.0
195,Lucas,Pires Silva,Lucas Pires,Burnley,DEF,39,0,0,0,0,0,0.0,0.2,9040,11376,0.0,0.0,0.0,0.0,0,0,0.0
196,Shurandy,Sambo,Sambo,Burnley,DEF,40,0,0,0,0,0,0.0,0.1,202,8314,0.0,0.0,0.0,0.0,0,0,0.0
197,Oliver,Sonne,Sonne,Burnley,DEF,39,3,102,0,0,0,0.0,0.1,4616,8596,3.0,7.6,16.4,6.0,0,-2,0.8
198,Axel,Tuanzebe,Tuanzebe,Burnley,DEF,39,9,180,0,0,1,3.0,1.8,95090,150357,3.8,36.0,1.2,0.0,0,29,2.3
199,Joe,Worrall,Worrall,Burnley,DEF,39,4,19,0,0,0,0.3,0.2,14307,9488,1.2,11.2,0.3,0.0,0,9,1.0
200,Jaidon,Anthony,Anthony,Burnley,MID,57,43,669,4,1,3,3.0,7.0,1028985,253232,49.5,219.0,102.3,174.0,5,146,7.5
201,Manuel,Benson Hedilazio,Benson,Burnley,MID,54,0,0,0,0,0,0.0,0.0,1070,2773,0.0,0.0,0.0,0.0,0,0,0.0
202,Jacob,Bruun Larsen,Bruun Larsen,Burnley,MID,53,12,292,0,1,1,1.0,0.0,2327,4330,10.2,38.4,33.6,31.0,0,35,2.3
203,Enock,Agyei,Boateng,Burnley,MID,48,0,0,0,0,0,0.0,0.0,1279,4185,0.0,0.0,0.0,0.0,0,0,0.0
204,Darko,Churlinov,Churlinov,Burnley,MID,49,0,0,0,0,0,0.0,0.0,160,1867,0.0,0.0,0.0,0.0,0,0,0.0
205,Josh,Cullen,Cullen,Burnley,MID,50,40,680,1,1,3,4.3,2.5,401631,169274,35.3,199.6,124.6,28.0,5,162,8.0
206,Marcus,Edwards,Edwards,Burnley,MID,48,1,5,0,0,0,0.0,0.1,3393,9119,0.0,0.0,0.0,0.0,0,3,0.2
207,Hannibal,Mejbri,Hannibal,Burnley,MID,49,12,253,0,0,1,0.3,0.1,8860,14155,7.3,20.0,40.7,13.0,0,37,2.4
208,Luca,Koleosho,Koleosho,Burnley,MID,50,0,0,0,0,0,0.0,0.0,68,2852,0.0,0.0,0.0,0.0,0,0,0.0
209,Josh,Laurent,Laurent,Burnley,MID,49,12,461,0,0,0,1.7,0.0,1058,2132,11.0,54.6,21.3,32.0,0,57,2.4
210,Loum,Tchaouna,Tchaouna,Burnley,MID,49,19,341,1,1,1,3.0,0.0,2782,2499,12.6,54.8,30.1,40.0,0,62,3.9
211,Aaron,Ramsey,A.Ramsey,Burnley,MID,44,0,0,0,0,0,0.0,2.5,62789,807766,0.0,0.0,0.0,0.0,0,0,0.0
212,Oluwaseun,Adewumi,Adewumi,Burnley,MID,45,0,0,0,0,0,0.0,0.0,0,2461,0.0,0.0,0.0,0.0,0,0,0.0
213,Jaydon,Banel,Banel,Burnley,MID,45,0,0,0,0,0,0.0,0.0,3748,3854,0.0,0.0,0.0,0.0,0,0,0.0
214,Mike,Trésor Ndayishimiye,Trésor,Burnley,MID,44,0,0,0,0,0,0.0,0.1,6483,7158,0.0,0.0,0.0,0.0,0,0,0.0
215,Zian,Flemming,Flemming,Burnley,FWD,53,6,108,0,0,1,1.0,0.1,7633,16303,3.0,11.6,10.6,9.0,0,16,1.1
216,Zeki,Amdouni,Amdouni,Burnley,FWD,49,0,0,0,0,0,0.0,0.0,770,4751,0.0,0.0,0.0,0.0,0,0,0.0
217,Lyle,Foster,Foster,Burnley,FWD,50,21,565,1,1,2,1.0,2.0,373712,207770,21.2,82.2,66.5,67.0,2,82,4.2
218,Ashley,Barnes,Barnes,Burnley,FWD,44,1,7,0,0,0,0.3,1.4,77915,192181,0.1,0.2,0.3,0.0,0,3,0.2
219,Michael,Obafemi,Obafemi,Burnley,FWD,44,0,0,0,0,0,0.0,0.2,4151,34612,0.0,0.0,0.0,0.0,0,0,0.0
470,Martin,Dúbravka,Dúbravka,Burnley,GKP,40,29,720,0,0,2,4.0,34.4,910194,529743,25.2,250.6,0.0,0.0,2,125,7.2
676,Lesley,Ugochukwu,Ugochukwu,Burnley,MID,50,23,367,2,0,2,6.0,0.1,6742,3842,17.2,105.6,22.9,46.0,3,82,4.6
680,Armando,Broja,Broja,Burnley,FWD,53,3,42,0,0,0,0.7,0.1,9168,22580,1.0,6.2,0.9,2.0,0,7,0.6
722,Florentino Ibrain,Morris Luís,Florentino,Burnley,MID,50,20,387,0,1,1,5.3,0.0,3601,785,16.7,113.6,51.7,1.0,0,76,4.0
66,Norberto,Murara Neto,Neto,Bournemouth,GKP,45,0,0,0,0,0,0.0,0.1,0,14277,0.0,0.0,0.0,0.0,0,0,0.0
67,Đorđe,Petrović,Petrović,Bournemouth,GKP,45,29,720,0,0,3,2.7,5.7,553060,257406,18.7,186.8,0.0,0.0,0,122,6.4
68,Will,Dennis,Dennis,Bournemouth,GKP,40,0,0,0,0,0,0.0,1.0,37863,43564,0.0,0.0,0.0,0.0,0,0,0.0
69,Callan,McKenna,McKenna,Bournemouth,GKP,40,0,0,0,0,0,0.0,0.2,5631,8037,0.0,0.0,0.0,0.0,0,0,0.0
70,Alex,Paulsen,Paulsen,Bournemouth,GKP,40,0,0,0,0,0,0.0,0.1,1107,7830,0.0,0.0,0.0,0.0,0,0,0.0
71,Illia,Zabarnyi,Zabarnyi,Bournemouth,DEF,50,0,0,0,0,0,0.0,0.0,0,7850,0.0,0.0,0.0,0.0,0,0,0.0
72,Marcos,Senesi Barón,Senesi,Bournemouth,DEF,50,48,707,0,2,3,3.7,26.5,3255848,298193,36.9,271.0,68.1,29.0,6,152,9.6
73,Adam,Smith,Smith,Bournemouth,DEF,44,8,204,0,0,1,0.0,0.2,13812,30835,3.6,17.8,14.0,4.0,0,28,1.8
74,Adrien,Truffert,Truffert,Bournemouth,DEF,45,33,720,0,1,3,3.0,2.2,289111,108495,29.4,156.0,121.3,17.0,4,120,7.3
75,Matai,Akinmboni,Akinmboni,Bournemouth,DEF,40,0,0,0,0,0,0.0,0.3,9414,18416,0.0,0.0,0.0,0.0,0,0,0.0
76,Owen,Bevan,Bevan,Bournemouth,DEF,39,0,0,0,0,0,0.0,0.2,5925,9980,0.0,0.0,0.0,0.0,0,0,0.0
77,James,Hill,Hill,Bournemouth,DEF,40,17,273,0,0,2,2.3,0.9,80790,62313,9.1,44.0,5.3,41.0,0,61,4.2
78,Julián,Araujo Zúñiga,J.Araujo,Bournemouth,DEF,39,0,0,0,0,0,0.0,0.7,23000,81097,0.0,0.0,0.0,0.0,0,0,0.0
79,Chris,Mepham,Mepham,Bournemouth,DEF,40,0,0,0,0,0,0.0,0.1,1400,13816,0.0,0.0,0.0,0.0,0,0,0.0
80,Julio,Soler Barreto,Soler,Bournemouth,DEF,40,1,1,0,0,0,0.0,0.2,7986,17320,0.0,0.0,0.0,0.0,0,2,0.2
81,Justin,Kluivert,Kluivert,Bournemouth,MID,70,14,234,1,0,0,3.3,1.1,109061,101166,18.6,62.0,85.4,39.0,1,51,2.0
82,Antoine,Semenyo,Semenyo,Bournemouth,MID,80,70,720,6,4,3,9.7,63.5,6929617,544686,68.7,311.6,135.4,239.0,9,197,8.8
84,Marcus,Tavernier,Tavernier,Bournemouth,MID,55,32,586,1,1,4,3.0,1.2,258019,184225,36.2,120.6,133.4,107.0,3,90,5.8
85,Tyler,Adams,Adams,Bournemouth,MID,50,21,694,0,0,3,2.3,0.4,38729,35468,21.8,125.0,37.5,55.0,0,123,4.2
86,David,Brooks,Brooks,Bournemouth,MID,50,18,454,0,1,3,1.0,0.3,56276,49785,28.8,66.8,121.1,104.0,1,82,3.6
87,Ryan,Christie,Christie,Bournemouth,MID,50,13,172,1,1,0,3.3,0.1,4500,8035,14.0,60.4,28.0,51.0,0,46,2.6
88,Lewis,Cook,Cook,Bournemouth,MID,49,2,5,0,0,0,0.3,0.0,2009,2036,0.6,5.2,0.4,0.0,0,7,0.4
89,Philip,Billing,Philip,Bournemouth,MID,49,0,0,0,0,0,0.0,0.0,598,6161,0.0,0.0,0.0,0.0,0,0,0.0
90,Alex,Scott,Scott,Bournemouth,MID,50,26,514,1,0,3,2.3,0.3,49398,25081,22.5,100.8,93.6,31.0,2,108,5.2
91,Luis,Sinisterra Lucumí,Sinisterra,Bournemouth,MID,50,0,0,0,0,0,0.0,0.0,396,3664,0.0,0.0,0.0,0.0,0,0,0.0
92,Romain,Faivre,Faivre,Bournemouth,MID,45,0,0,0,0,0,0.0,0.1,3740,16381,0.0,0.0,0.0,0.0,0,0,0.0
93,Hamed,Traorè,H.Traorè,Bournemouth,MID,45,4,16,0,1,0,0.0,0.4,114900,145598,3.1,21.2,10.0,0.0,0,12,0.9
94,Dominic,Sadi,Sadi,Bournemouth,MID,45,0,0,0,0,0,0.0,0.0,3895,6609,0.0,0.0,0.0,0.0,0,0,0.0
95,Zain,Silcott-Duberry,Silcott-Duberry,Bournemouth,MID,44,0,0,0,0,0,0.0,0.1,15405,16195,0.0,0.0,0.0,0.0,0,0,0.0
96,Ben,Winterburn,Winterburn,Bournemouth,MID,45,1,6,0,0,0,0.0,0.0,2964,8665,0.0,0.0,0.0,0.0,0,3,0.2
97,Francisco Evanilson,de Lima Barbosa,Evanilson,Bournemouth,FWD,70,22,617,1,1,3,1.3,2.3,482141,464335,33.8,59.0,107.2,173.0,2,89,3.1
98,Enes,Ünal,Enes Ünal,Bournemouth,FWD,54,0,0,0,0,0,0.0,0.0,577,1127,0.0,0.0,0.0,0.0,0,0,0.0
99,Daniel,Adu-Adjei,Adu-Adjei,Bournemouth,FWD,44,0,0,0,0,0,0.0,0.2,22144,35499,0.0,0.0,0.0,0.0,0,0,0.0
100,Eli Junior,Kroupi,Kroupi.Jr,Bournemouth,FWD,45,21,95,3,0,0,6.0,2.4,323942,178643,20.3,105.6,3.2,94.0,4,95,4.7
391,Ben,Gannon-Doak,Gannon-Doak,Bournemouth,MID,49,6,43,0,1,0,2.0,0.0,4130,5517,4.2,20.2,12.5,9.0,0,20,1.2
685,Bafodé,Diakité,Diakité,Bournemouth,DEF,45,29,630,0,0,3,2.7,0.5,75845,45274,19.4,142.8,37.8,12.0,2,104,6.4
687,Remy,Rees-Dottin,Rees-Dottin,Bournemouth,MID,44,0,0,0,0,0,0.0,0.1,10341,9366,0.0,0.0,0.0,0.0,0,0,0.0
697,Amine,Adli,Adli,Bournemouth,MID,55,6,162,0,0,0,0.7,0.0,4221,3456,13.7,52.8,50.3,34.0,0,36,1.1
713,Álex,Jiménez Sánchez,A.Jimenez,Bournemouth,DEF,45,2,223,0,0,0,0.7,0.0,1983,1015,6.9,33.6,20.4,15.0,0,10,0.4
721,Veljko,Milosavljevic,Milosavljević,Bournemouth,DEF,45,5,95,0,0,0,0.3,0.0,4133,2154,4.1,23.8,11.3,6.0,0,18,1.1
27,Reiss,Nelson,Nelson,Brentford,MID,48,0,0,0,0,0,0.0,0.1,6992,12684,0.0,0.0,0.0,0.0,0,0,0.0
83,Dango,Ouattara,O.Dango,Brentford,MID,60,22,386,1,0,2,1.7,0.4,171297,146875,26.7,70.2,48.9,152.0,3,52,3.7
101,Caoimhín,Kelleher,Kelleher,Brentford,GKP,45,27,720,0,0,2,5.7,8.0,246365,503231,18.3,172.6,10.0,0.0,0,104,6.0
102,Ellery,Balcombe,Balcombe,Brentford,GKP,40,0,0,0,0,0,0.0,0.3,9054,13179,0.0,0.0,0.0,0.0,0,0,0.0
103,Matthew,Cox,Cox,Brentford,GKP,40,0,0,0,0,0,0.0,0.1,3625,5785,0.0,0.0,0.0,0.0,0,0,0.0
104,Julian,Eyestone,Eyestone,Brentford,GKP,40,0,0,0,0,0,0.0,0.1,1317,3089,0.0,0.0,0.0,0.0,0,0,0.0
105,Hákon Rafn,Valdimarsson,Valdimarsson,Brentford,GKP,39,0,0,0,0,0,0.0,0.6,8837,39195,0.0,0.0,0.0,0.0,0,0,0.0
106,Nathan,Collins,Collins,Brentford,DEF,49,27,720,0,0,2,4.0,1.2,51119,108358,26.9,165.2,23.8,79.0,2,87,5.5
107,Keane,Lewis-Potter,Lewis-Potter,Brentford,DEF,49,20,412,0,1,2,1.7,0.3,17965,29802,10.2,49.4,36.0,16.0,0,53,4.1
108,Kristoffer,Ajer,Ajer,Brentford,DEF,44,14,208,0,1,1,2.7,0.2,6761,12126,10.9,55.2,12.6,40.0,0,53,3.2
109,Rico,Henry,Henry,Brentford,DEF,44,4,168,0,0,0,0.3,0.1,4015,10307,3.9,16.4,12.4,12.0,0,4,0.9
110,Michael,Kayode,Kayode,Brentford,DEF,45,28,706,0,0,2,4.3,0.3,47683,34889,30.6,144.8,146.1,14.0,5,97,6.2
111,Ethan,Pinnock,Pinnock,Brentford,DEF,44,0,155,0,0,0,0.0,0.1,4846,16414,4.3,31.8,0.8,10.0,0,1,0.0
112,Mads,Roerslev Rasmussen,Roerslev,Brentford,DEF,45,0,0,0,0,0,0.0,0.0,211,3612,0.0,0.0,0.0,0.0,0,0,0.0
113,Sepp,van den Berg,Van den Berg,Brentford,DEF,45,26,720,0,0,2,3.3,0.6,67567,54989,26.4,149.6,14.2,100.0,0,95,5.8
114,Benjamin,Arthur,Arthur,Brentford,DEF,39,0,0,0,0,0,0.0,0.2,7869,17124,0.0,0.0,0.0,0.0,0,0,0.0
115,Benjamin,Fredrick,Fredrick,Brentford,DEF,40,0,0,0,0,0,0.0,0.1,2020,10954,0.0,0.0,0.0,0.0,0,0,0.0
116,Aaron,Hickey,Hickey,Brentford,DEF,40,6,184,0,0,0,1.3,0.4,14151,26656,1.7,12.2,3.6,1.0,0,16,1.5
