element,team,element_type,first_name,second_name,web_name
245,7,3,Mykhailo,Mudryk,Mudryk
246,7,3,Andrey,Nascimento dos Santos,Andrey Santos
247,7,3,Dário,Luís Essugo,D.Essugo
248,7,3,Kendry,Páez Andrade,Paez
249,7,4,João Pedro,Junqueira de Jesus,João Pedro
250,7,4,Liam,Delap,Delap
251,7,4,Nicolas,Jackson,N.Jackson
252,7,4,Marc,Guiu Paz,Marc Guiu
453,7,3,Alejandro,Garnacho Ferreyra,Garnacho
672,7,2,Jorrel,Hato,Hato
743,7,3,Landon,Emenalo,Emenalo
789,7,1,Max,Merrick,Merrick
803,7,1,Teddy,Sharman-Lowe,Sharman-Lowe
829,7,3,Jesse,Derry,Derry
253,8,1,Dean,Henderson,Henderson
254,8,1,Walter,Benítez,Benitez
255,8,1,Remi,Matthews,Matthews
256,8,2,Daniel,Muñoz Mejía,Muñoz
257,8,2,Maxence,Lacroix,Lacroix
258,8,2,Tyrick,Mitchell,Mitchell
259,8,2,Borna,Sosa,Sosa
261,8,2,Chris,Richards,Richards
262,8,2,Chadi,Riad Dnanou,Chadi Riad
263,8,2,Nathaniel,Clyne,Clyne
264,8,2,Rob,Holding,Holding
265,8,2,Caleb,Kporha,Kporha
267,8,3,Ismaïla,Sarr,Sarr
268,8,3,Cheick,Doucouré,Doucouré
269,8,3,Romain,Esse,Esse
270,8,3,Will,Hughes,Hughes
271,8,3,Daichi,Kamada,Kamada
272,8,3,Jefferson,Lerma Solís,Lerma
273,8,3,Adam,Wharton,Wharton
274,8,3,Asher,Agbinone,Agbinone
275,8,3,Naouirou,Ahamada,Ahamada
276,8,3,Justin,Devenny,Devenny
277,8,3,Malcolm,Ebiowei,Ebiowei
278,8,3,Jesurun,Rak-Sakyi,J.Rak-Sakyi
279,8,3,Matheus,França de Oliveira,M.França
280,8,3,David,Ozoh,Ozoh
281,8,3,Kaden,Rodney,Rodney
282,8,3,Franco,Umeh-Chibueze,Umeh
283,8,4,Jean-Philippe,Mateta,Mateta
284,8,4,Eddie,Nketiah,Nketiah
285,8,4,Odsonne,Édouard,Édouard
286,8,4,Zach,Marsh,Marsh
580,8,3,Brennan,Johnson,Johnson
654,8,4,Jørgen,Strand Larsen,Strand Larsen
677,8,3,Evann,Guessand,Guessand
690,8,3,Rio,Cardines,Cardines
712,8,3,Yéremy,Pino Santos,Yeremy
723,8,2,Jaydee,Canvot,Canvot
732,8,4,Christantus,Uche,Uche
762,8,3,Joél,Drakes-Thomas,Drakes-Thomas
773,8,2,Dean,Benamar,Benamar
780,8,4,Ben,Casey,Casey
793,8,2,George,King,King
798,8,2,Danny,Imray,Imray
242,9,3,Kiernan,Dewsbury-Hall,Dewsbury-Hall
243,9,3,Tyrique,George,George
287,9,1,Jordan,Pickford,Pickford
288,9,1,Mark,Travers,Travers
289,9,1,Harry,Tyrer,Tyrer
290,9,2,Jarrad,Branthwaite,Branthwaite
291,9,2,James,Tarkowski,Tarkowski
292,9,2,Vitalii,Mykolenko,Mykolenko
293,9,2,Jake,O'Brien,O'Brien
294,9,2,Séamus,Coleman,Coleman
295,9,2,Michael,Keane,Keane
296,9,2,Nathan,Patterson,Patterson
297,9,2,Roman,Dixon,Dixon
298,9,2,Reece,Welch,Welch
299,9,3,Iliman,Ndiaye,Ndiaye
300,9,3,Dwight,McNeil,McNeil
301,9,3,Carlos,Alcaraz Durán,Alcaraz
302,9,3,Idrissa Gana,Gueye,Gana
303,9,3,James,Garner,Garner
304,9,3,Tim,Iroegbunam,Iroegbunam
305,9,3,Harrison,Armstrong,Armstrong
306,9,3,Callum,Bates,Bates
307,9,3,Coby,Ebere,Ebere
308,9,3,Isaac,Heath,Heath
309,9,3,Jenson,Metcalfe,Metcalfe
310,9,4,Thierno,Barry,Barry
311,9,4,Norberto Bercique,Gomes Betuncal,Beto
312,9,4,Youssef,Ramalho Chermiti,Y.Chermiti
313,9,4,Martin,Sherif,Sherif
419,9,3,Jack,Grealish,Grealish
630,9,1,Tom,King,King
667,9,2,Adam,Aznou,Aznou
704,9,3,Tyler,Onyango,Onyango
705,9,2,Elijah,Campbell,Campbell
707,9,3,Tyler,Dibling,Dibling
728,9,3,Merlin,Röhl,Röhl
779,9,4,Braiden,Graham,Graham
314,10,1,Bernd,Leno,Leno
315,10,1,Steven,Benda,Benda
316,10,2,Antonee,Robinson,Robinson
317,10,2,Joachim,Andersen,Andersen
318,10,2,Calvin,Bassey,Bassey
319,10,2,Timothy,Castagne,Castagne
320,10,2,Issa,Diop,Diop
321,10,2,Jorge,Cuenca Barreno,J.Cuenca
322,10,2,Kenny,Tete,Tete
323,10,2,Samuel,Amissah,Amissah
324,10,3,Alex,Iwobi,Iwobi
325,10,3,Emile,Smith Rowe,Smith Rowe
327,10,3,Andreas,Hoelgebaum Pereira,Andreas
328,10,3,Ryan,Sessegnon,Sessegnon
329,10,3,Harry,Wilson,Wilson
330,10,3,Sander,Berge,Berge
331,10,3,Tom,Cairney,Cairney
332,10,3,Saša,Lukić,Lukić
333,10,3,Martial,Godo,Godo
334,10,3,Luke,Harris,Harris
335,10,3,Josh,King,King
336,10,3,Harrison,Reed,Reed
337,10,4,Raúl,Jiménez Rodríguez,Raúl
338,10,4,Rodrigo,Muniz Carvalho,Muniz
424,10,3,Oscar,Bobb,Bobb
664,10,1,Benjamin,Lecomte,Lecomte
727,10,3,Samuel,Chukwueze,Chukwueze
731,10,3,Kevin,Santos Lopes de Macedo,Kevin
737,10,4,Jonah,Kusi-Asare,Kusi-Asare
770,10,3,Seth,Ridgeon,Ridgeon
786,10,1,Alfie,McNally,McNally
168,11,3,Facundo,Buonanotte,Buonanotte
339,11,1,Illan,Meslier,Meslier
340,11,1,Alex,Cairns,Cairns
341,11,1,Karl,Darlow,Darlow
342,11,2,Jayden,Bogle,Bogle
343,11,2,Pascal,Struijk,Struijk
344,11,2,Jaka,Bijol,Bijol
345,11,2,Sebastiaan,Bornauw,Bornauw
346,11,2,Sam,Byram,Byram
347,11,2,Gabriel,Gudmundsson,Gudmundsson
348,11,2,Joe,Rodon,Rodon
349,11,2,Isaac,Schmidt,Schmidt
