Unnamed: 0,Name,Gameweek,Team,Cost,Corners,Goal Attempts,xA Expected Assists,xG Expected Goals,Big Assists,Chances Created,DC Pts,Ownership,Svs,Solo Goals
,Neto,1,ARS,4.5,0,0,0.0,0.0,0,0,0,0.1,7,0
,Rodrigo Muniz,1,FUL,5.4,0,2,0.0,0.11,0,2,0,1.0,0,0
,Mount,1,MUN,5.9,0,1,0.03,0.3,0,2,0,0.3,0,0
,Mosquera,1,WOL,4.4,0,0,0.02,0.0,0,1,0,0.1,0,0
,Morsy,1,IPS,4.8,0,0,0.08,0.0,0,1,0,0.1,0,0
,Savinho,1,MCI,6.9,0,0,0.16,0.0,0,3,0,0.5,0,0
,Mitoma,1,BHA,6.2,0,4,0.04,0.97,0,0,0,2.3,0,0
,Mitchell,1,CRY,5.0,0,1,0.03,0.12,0,2,0,2.2,0,0
,Minteh,1,BHA,6.0,0,0,0.65,0.0,1,3,0,4.4,0,0
,Milner,1,BHA,5.0,5,0,0.11,0.0,0,3,0,0.1,0,0
,Mee (Ben),1,BRE,4.2,0,0,0.0,0.0,0,0,0,0.3,0,0
,McTominay,1,MUN,4.9,0,0,0.0,0.0,0,0,0,0.1,0,0
,McNeil,1,EVE,5.6,1,0,0.16,0.0,0,1,0,0.1,0,0
,McGinn,1,AVL,5.4,0,2,0.01,0.3,0,0,0,0.6,0,0
,McCarthy,1,SOU,4.2,0,0,0.0,0.0,0,0,0,0.1,0,0
,McAteer,1,LEI,4.7,0,1,0.0,0.02,0,0,0,0.0,0,0
,Mbeumo,1,BRE,8.3,3,1,0.45,0.09,0,3,0,28.5,0,1
,Mazraoui,1,MUN,4.9,0,0,0.01,0.0,0,0,0,0.2,0,0
,Mavropanos,1,WHU,4.4,0,1,0.0,0.02,0,0,2,0.1,0,0
,Mavididi,1,LEI,5.0,0,0,0.06,0.0,0,1,0,0.3,0,0
,Mateta,1,CRY,7.9,0,0,0.01,0.0,0,0,0,23.0,0,0
,Martínez,1,MUN,4.8,0,0,0.02,0.0,0,1,0,0.1,0,0
,Martinez,1,AVL,5.0,0,0,0.0,0.0,0,0,0,2.0,3,0
,Martinelli,1,ARS,6.9,0,1,0.19,0.08,0,3,0,1.0,0,0
,José Sá,1,WOL,4.4,0,0,0.0,0.0,0,0,0,1.2,4,0
,Mainoo,1,MUN,4.8,0,1,0.01,0.03,0,0,2,0.5,0,0
,Maguire,1,MUN,4.4,0,0,0.01,0.0,0,0,0,0.8,0,0
,Maddison,1,TOT,6.9,12,1,0.98,0.02,0,3,0,0.1,0,0
,Mac Allister,1,LIV,6.3,0,2,0.06,0.1,0,0,0,1.2,0,0
,Maatsen,1,AVL,4.3,0,0,0.04,0.0,0,1,0,0.4,0,0
,Luongo,1,IPS,4.3,0,0,0.0,0.0,0,0,0,0.2,0,0
,Lukic,1,FUL,5.0,0,0,0.01,0.0,0,0,2,0.1,0,0
,Longstaff (Sean),1,NEW,4.9,0,0,0.01,0.0,0,0,0,1.1,0,0
,Livramento,1,NEW,4.9,0,0,0.0,0.0,0,0,0,3.1,0,0
,Lewis-Potter,1,BRE,4.9,0,0,0.0,0.0,0,0,0,0.3,0,0
,Lewis (Rico),1,MCI,4.9,0,0,0.01,0.0,0,0,0,1.7,0,0
,Lerma,1,CRY,4.9,0,0,0.32,0.0,0,1,0,0.1,0,0
,Leno,1,FUL,5.0,0,0,0.0,0.0,0,0,0,1.6,5,0
,Lemina (Mario),1,WOL,4.8,0,0,0.01,0.0,0,0,2,0.1,0,0
,Lavia,1,CHE,4.9,0,0,0.18,0.0,0,1,2,0.0,0,0
,Kulusevski,1,TOT,6.4,0,0,0.17,0.0,0,0,0,0.0,0,0
,Kudus,1,WHU,6.7,0,2,0.47,0.08,0,2,0,30.1,0,0
,Kristiansen,1,LEI,4.4,0,0,0.03,0.0,0,0,0,0.1,0,0
,Krafth,1,NEW,4.4,0,0,0.0,0.0,0,0,0,0.0,0,0
,Kovacic,1,MCI,5.9,0,2,0.02,0.13,0,0,2,0.0,0,1
,Konsa Ngoyo,1,AVL,4.4,0,1,0.01,0.07,0,1,0,8.6,0,0
,Konaté,1,LIV,5.4,0,0,0.0,0.0,0,0,0,2.7,0,0
,Kluivert,1,BOU,7.0,1,0,0.02,0.0,0,0,0,1.0,0,0
,Kilman,1,WHU,4.3,0,0,0.07,0.0,0,1,2,0.2,0,0
,Kerkez,1,BOU,5.7,0,0,0.01,0.0,0,1,0,3.6,0,0
,Kelly,1,NEW,4.2,0,0,0.0,0.0,0,0,0,0.1,0,0
,Keane,1,EVE,4.5,0,1,0.01,0.01,0,0,0,1.1,0,0
,Kamada,1,CRY,5.0,0,0,0.06,0.0,0,2,0,0.2,0,0
,Justin,1,LEI,4.0,0,1,0.01,0.08,0,0,2,0.2,0,0
,João Pedro,1,BHA,7.4,0,1,0.02,0.03,0,1,0,45.5,0,0
,Johnson (Ben),1,IPS,3.8,0,0,0.0,0.0,0,0,0,1.9,0,0
,Johnson (Brennan),1,TOT,6.7,0,2,0.08,0.08,0,1,0,3.1,0,0
,Raúl Jiménez,1,FUL,6.2,0,0,0.0,0.0,0,0,0,0.8,0,0
,Jensen,1,BRE,4.9,1,0,0.03,0.0,0,1,0,0.1,0,0
,Jebbison,1,BOU,4.5,0,0,0.0,0.0,0,1,0,1.1,0,0
,Janelt,1,BRE,4.9,0,2,0.03,0.07,0,1,0,0.0,0,0
,Jackson (Nicolas),1,CHE,6.5,0,1,0.06,0.47,0,2,0,0.1,0,0
,Iwobi,1,FUL,6.5,0,1,0.15,0.04,0,0,0,1.7,0,0
,Isak,1,NEW,10.4,0,0,0.08,0.0,1,1,0,5.1,0,0
,Iroegbunam,1,EVE,4.9,0,2,0.01,0.14,0,0,2,0.0,0,0
,Ings,1,WHU,4.8,0,1,0.0,0.25,0,0,0,1.2,0,0
,Hwang Hee-Chan,1,WOL,5.8,0,0,0.11,0.0,0,1,0,0.1,0,0
,Hutchinson,1,IPS,5.4,0,3,0.02,0.27,0,0,0,0.0,0,0
,Huijsen,1,BOU,4.5,0,0,0.01,0.0,0,0,0,5.0,0,0
,Hughes,1,CRY,4.8,0,0,0.05,0.0,0,1,0,0.1,0,0
,Hudson-Odoi,1,NFO,5.8,1,2,0.2,0.07,0,3,0,0.8,0,0
,Holgate,1,EVE,4.0,0,0,0.0,0.0,0,0,0,0.1,0,0
,Hinshelwood,1,BHA,5.1,0,0,0.01,0.0,0,0,0,0.0,0,0
,Hermansen,1,LEI,4.4,0,0,0.0,0.0,0,0,0,0.2,5,0
,Henderson,1,CRY,5.0,0,0,0.0,0.0,0,0,0,7.6,3,0
,Havertz,1,ARS,7.3,0,5,0.04,0.45,0,2,0,0.3,0,0
,Harwood-Bellis,1,SOU,3.9,0,0,0.02,0.0,0,1,0,4.1,0,0
,Harrison (Jack),1,EVE,5.2,0,3,0.26,0.14,0,1,0,0.1,0,0
,Harness,1,IPS,4.9,0,0,0.03,0.0,0,0,0,0.0,0,0
,Lewis Hall,1,NEW,5.2,1,0,0.02,0.0,0,1,0,0.8,0,0
,Haaland,1,MCI,14.8,0,2,0.0,0.28,0,0,0,69.6,0,1
,Gvardiol,1,MCI,5.9,0,1,0.02,0.03,0,0,2,5.4,0,0
,Gusto,1,CHE,4.9,0,0,0.07,0.0,0,0,0,1.0,0,0
,Guiu,1,CHE,4.2,0,0,0.0,0.0,0,0,0,6.9,0,0
,Bruno Guimarães,1,NEW,6.6,0,0,0.04,0.0,0,0,2,3.7,0,0
,Gueye,1,EVE,5.4,0,1,0.01,0.02,0,0,0,0.1,0,0
,Marc Guehi,1,CRY,5.0,0,0,0.02,0.0,0,0,2,34.1,0,0
,Greaves,1,IPS,3.8,0,2,0.0,0.1,0,0,2,2.3,0,0
,Gray (Archie),1,TOT,4.8,0,0,0.01,0.0,0,0,0,0.1,0,0
,Gravenberch,1,LIV,5.6,0,0,0.39,0.0,0,0,0,4.0,0,0
,Gordon (Anthony),1,NEW,7.5,2,0,0.02,0.0,0,1,0,3.1,0,0
,João Gomes,1,WOL,5.4,0,0,0.02,0.0,0,0,0,0.1,0,0
,Beto,1,EVE,5.2,0,0,0.0,0.0,0,0,0,3.3,0,0
,Rodrigo Gomes,1,WOL,4.5,1,1,0.01,0.05,0,0,0,0.1,0,0
,Toti,1,WOL,4.3,0,0,0.01,0.0,0,0,0,0.1,0,0
,Gilmour,1,BHA,5.0,0,0,0.0,0.0,0,0,0,0.0,0,0
,Gibbs-White,1,NFO,7.3,0,2,0.07,0.1,0,3,0,2.9,0,0
,Rúben Dias,1,MCI,5.5,0,0,0.0,0.0,0,0,0,4.5,0,0
,Garnacho,1,MUN,6.4,0,2,0.09,0.68,0,2,0,0.4,0,0
,Gakpo,1,LIV,7.6,0,0,0.0,0.0,0,0,0,14.1,0,0
,Füllkrug,1,WHU,5.6,0,0,0.0,0.0,0,0,0,0.7,0,0
,Casemiro,1,MUN,5.5,0,3,0.5,0.16,0,3,2,0.6,0,0
,Fofana (Wesley),1,CHE,4.4,0,1,0.01,0.04,0,0,0,0.2,0,0
,Foden,1,MCI,8.0,0,0,0.01,0.0,0,0,0,4.3,0,0
,Flekken,1,BRE,4.5,0,0,0.0,0.0,0,0,0,10.0,6,0
,Fernández,1,CHE,6.7,2,3,0.08,0.22,0,0,0,14.3,0,0
,Fatawu,1,LEI,5.1,0,0,0.6,0.0,1,2,2,0.2,0,0
,Faes,1,LEI,3.8,0,0,0.0,0.0,0,0,0,5.2,0,0
,Eze,1,CRY,7.6,1,7,0.05,0.41,0,0,0,14.2,0,0
,Evans (Jonny),1,MUN,4.4,0,0,0.0,0.0,0,0,0,0.1,0,0
,Elanga,1,NFO,6.7,0,1,0.16,0.02,0,2,0,3.7,0,0
,Edozie (Samuel),1,SOU,4.9,0,0,0.15,0.0,0,1,0,0.0,0,0
,Edouard,1,LEI,5.0,0,1,0.02,0.05,0,1,0,0.3,0,0
,Díaz,1,LIV,8.0,0,3,0.38,0.46,0,3,0,0.0,0,0
,Durán,1,AVL,5.7,0,2,0.0,0.38,0,0,0,1.6,0,0
,Dunk,1,BHA,4.5,0,1,0.0,0.07,0,0,0,1.2,0,0
,Downes,1,SOU,4.7,0,1,0.1,0.11,0,3,0,0.0,0,0
,Doucouré,1,EVE,5.1,0,1,0.01,0.14,0,0,0,0.5,0,0
,Doucoure,1,CRY,4.9,0,0,0.0,0.0,0,0,0,0.0,0,0
,Nicolás Domínguez,1,NFO,5.0,0,0,0.09,0.0,0,0,0,0.0,0,0
,Doku,1,MCI,6.5,0,2,0.09,0.13,0,1,0,5.0,0,0
,Doherty,1,WOL,4.4,0,2,0.01,0.08,0,0,0,0.1,0,0
,Diop,1,FUL,4.4,0,0,0.0,0.0,0,0,2,0.1,0,0
,Digne,1,AVL,4.5,0,0,0.13,0.0,0,1,0,1.6,0,0
,Dibling,1,SOU,5.4,0,0,0.02,0.0,0,1,0,0.0,0,0
,Dewsbury-Hall,1,CHE,4.9,0,0,0.01,0.0,0,0,0,3.0,0,0
,Delap,1,IPS,6.2,0,0,0.0,0.0,0,2,0,0.9,0,0
,DeCordova-Reid,1,LEI,5.2,0,1,0.01,0.06,0,0,0,0.1,0,0
,De Bruyne,1,MCI,9.5,3,2,0.32,0.07,0,1,0,11.6,0,0
,Dawson,1,WOL,4.2,0,0,0.0,0.0,0,0,0,0.1,0,0
,Davis,1,IPS,4.2,2,0,0.02,0.0,0,0,0,0.9,0,0
,Damsgaard,1,BRE,5.8,0,0,0.0,0.0,0,0,0,0.6,0,0
,Dalot,1,MUN,4.4,0,0,0.02,0.0,0,0,0,1.0,0,0
,Cucurella,1,CHE,6.1,0,0,0.02,0.0,0,0,0,21.8,0,0
,Coufal,1,WHU,4.1,0,0,0.1,0.0,0,1,0,0.4,0,0
,Cook,1,BOU,4.9,4,0,0.21,0.0,0,1,0,0.0,0,0
,Colwill,1,CHE,4.8,0,0,0.01,0.0,0,0,0,0.1,0,0
,Collins,1,BRE,4.9,0,1,0.0,0.22,0,0,2,1.1,0,0
,Christie,1,BOU,5.0,0,0,0.01,0.0,0,0,0,0.1,0,0
,Chaplin,1,IPS,5.1,0,0,0.01,0.0,0,0,0,0.1,0,0
,Cash,1,AVL,4.6,0,0,0.01,0.0,0,1,0,5.2,0,0
,Carvalho,1,BRE,4.9,0,0,0.0,0.0,0,0,0,0.2,0,0
,Calvert-Lewin,1,EVE,5.5,0,0,0.01,0.0,0,0,0,1.4,0,0
,Cairney,1,FUL,4.9,0,0,0.05,0.0,0,1,0,0.0,0,0
,Moises Caicedo,1,CHE,6.0,0,1,0.06,0.03,0,1,0,19.8,0,0
,Burns,1,IPS,4.7,0,0,0.0,0.0,0,0,0,0.0,0,0
,Burn,1,NEW,5.2,0,0,0.0,0.0,0,0,2,10.7,0,0
,Buonanotte,1,LEI,4.7,0,0,0.19,0.0,0,1,0,0.1,0,0
,Brereton,1,SOU,4.8,0,2,0.02,0.3,0,1,0,0.1,0,0
,Bradley,1,LIV,5.0,0,2,0.02,0.24,0,0,0,0.2,0,0
,Bowen,1,WHU,7.7,3,0,0.07,0.0,0,1,0,7.6,0,0
,Bruno Fernandes,1,MUN,8.9,4,6,0.03,1.19,0,0,0,16.3,0,0
,Boly,1,NFO,3.9,0,1,0.0,0.07,0,0,2,0.5,0,0
,Billing,1,BOU,4.9,0,0,0.0,0.0,0,0,0,0.0,0,0
,Bergvall,1,TOT,5.4,1,1,0.14,0.06,0,1,0,0.4,0,0
,Bentancur,1,TOT,5.3,0,3,0.04,0.25,0,0,0,0.4,0,0
,Bellegarde,1,WOL,5.2,0,1,0.0,0.07,0,0,0,0.0,0,0
,Bednarek,1,SOU,4.0,0,0,0.03,0.0,0,1,0,1.9,0,0
,Bassey,1,FUL,4.5,0,2,0.03,0.1,0,0,0,0.6,0,0
,Barnes,1,NEW,6.3,0,0,0.0,0.0,0,0,0,0.4,0,0
,Bailey,1,AVL,5.5,2,3,0.21,0.21,0,2,0,0.1,0,0
,Ayew,1,LEI,5.1,1,1,0.01,0.46,0,1,0,0.2,0,0
,Ayari,1,BHA,4.9,0,0,0.0,0.0,0,0,0,0.3,0,0
,Awoniyi,1,NFO,5.2,0,1,0.03,0.12,0,0,0,0.4,0,0
,Armstrong (Adam),1,SOU,5.1,0,5,0.08,0.71,0,1,0,0.5,0,0
,Aribo,1,SOU,4.9,0,1,0.44,0.05,0,2,0,0.1,0,0
,Areola,1,WHU,4.3,0,0,0.0,0.0,0,0,0,2.1,1,0
,Archer,1,SOU,4.8,0,2,0.0,0.19,0,0,0,1.1,0,0
,Araujo,1,BOU,3.9,0,0,0.01,0.0,0,0,0,0.7,0,0
,Joelinton,1,NEW,5.9,0,2,0.01,0.22,0,0,2,0.3,0,0
,Antonio,1,WHU,5.2,0,2,0.0,0.15,0,0,0,0.8,0,0
,Anderson,1,NFO,5.3,0,0,0.01,0.0,0,0,0,3.0,0,0
,Andersen,1,FUL,4.5,1,1,0.02,0.04,0,0,0,2.8,0,0
,Amo-Ameyaw,1,SOU,4.4,1,1,0.13,0.02,0,1,0,0.1,0,0
,Alexander-Arnold,1,LIV,7.2,3,1,1.0,0.06,0,3,0,16.7,0,0
,Alcaraz,1,EVE,5.2,1,1,0.03,0.07,0,1,0,0.1,0,0
,Ali Al Hamadi,1,IPS,4.7,0,0,0.0,0.0,0,0,0,0.2,0,0
,Akanji,1,MCI,5.4,0,0,0.01,0.0,0,0,0,0.3,0,0
,Ajer,1,BRE,4.4,0,1,0.0,0.28,0,0,0,0.2,0,0
,Ait Nouri,1,WOL,5.8,0,1,0.02,0.02,0,0,0,4.9,0,0
,Aina,1,NFO,4.7,0,1,0.02,0.02,0,0,0,2.5,0,0
,Adingra,1,BHA,5.1,0,2,0.05,0.17,0,0,0,0.5,0,1
,Álvarez (Edson),2,WHU,4.9,0,1,0.21,0.01,0,0,0,0.1,0,0
,van de Ven,2,TOT,4.7,0,0,0.04,0.0,1,1,0,32.6,0,0
,van Hecke,2,BHA,4.4,0,0,0.02,0.0,0,0,0,1.3,0,0
,van Dijk,2,LIV,6.0,0,1,0.01,0.02,0,0,0,23.6,0,0
,Gabriel Magalhães,2,ARS,6.6,0,0,0.02,0.0,0,0,0,40.9,0,0
,Antony,2,MUN,5.9,0,0,0.05,0.0,0,1,0,0.1,0,0
