gameweek,Name,Team,Cost,App,Starts,Mins,On,Off,M/App,M/Strt,G,A,CS,GC,OG,PS,Svs,YC,RC,sBln,ARtn,Rtn,DC,B,DD,Tot,M/Pt,Pts/Strt
1,Guiu,CHE,4.2,1,0,29,1,0,29.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29.0,0.0
1,Gusto,CHE,4.9,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Gvardiol,MCI,5.9,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,12.9,7.0
1,Haaland,MCI,14.8,1,1,90,0,0,90.0,90.0,1,0,1,0,0,0,0,1,0,0,1,1,0,2,0,7,12.9,7.0
1,Lewis Hall,NEW,5.2,1,1,69,0,1,69.0,69.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,13.8,5.0
1,Harness,IPS,4.9,1,0,32,1,0,32.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,32.0,0.0
1,Harrison (Jack),EVE,5.2,1,1,80,0,1,80.0,80.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,40.0,2.0
1,Harwood-Bellis,SOU,3.9,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Havertz,ARS,7.3,1,1,90,0,0,90.0,90.0,1,1,1,0,0,0,0,0,0,0,2,2,0,3,1,12,7.5,12.0
1,Henderson,CRY,5.0,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Hermansen,LEI,4.4,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Hinshelwood,BHA,5.1,1,1,90,0,0,90.0,90.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30.0,3.0
1,Holgate,EVE,4.0,1,0,15,1,0,15.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15.0,0.0
1,Hudson-Odoi,NFO,5.8,1,1,70,0,1,70.0,70.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,23.3,3.0
1,Hughes,CRY,4.8,1,1,84,0,1,84.0,84.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,42.0,2.0
1,Huijsen,BOU,4.5,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Hutchinson,IPS,5.4,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Hwang Hee-Chan,WOL,5.8,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Ings,WHU,4.8,1,0,13,1,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0.0
1,Iroegbunam,EVE,4.9,1,1,90,0,0,90.0,90.0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Isak,NEW,10.4,1,1,90,0,0,90.0,90.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,5,18.0,5.0
1,Iwobi,FUL,6.5,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Jackson (Nicolas),CHE,6.5,1,1,65,0,1,65.0,65.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,32.5,2.0
1,Janelt,BRE,4.9,1,1,73,0,1,73.0,73.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,36.5,2.0
1,Jebbison,BOU,4.5,1,0,28,1,0,28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.0,0.0
1,Jensen,BRE,4.9,1,1,83,0,1,83.0,83.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,41.5,2.0
1,Raúl Jiménez,FUL,6.2,1,0,17,1,0,17.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17.0,0.0
1,Johnson (Ben),IPS,3.8,1,0,40,1,0,40.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,Johnson (Brennan),TOT,6.7,1,1,71,0,1,71.0,71.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,35.5,2.0
1,João Pedro,BHA,7.4,1,1,77,0,1,77.0,77.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,38.5,2.0
1,Justin,LEI,4.0,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Kamada,CRY,5.0,1,1,70,0,1,70.0,70.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,70.0,1.0
1,Keane,EVE,4.5,1,1,90,0,0,90.0,90.0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Kelly,NEW,4.2,1,0,26,1,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,0.0
1,Kerkez,BOU,5.8,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,90.0,1.0
1,Kilman,WHU,4.3,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,90.0,1.0
1,Kluivert,BOU,7.0,1,0,33,1,0,33.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1,Konaté,LIV,5.4,1,0,45,1,0,45.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.0,0.0
1,Konsa Ngoyo,AVL,4.4,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Kovacic,MCI,5.9,1,1,90,0,0,90.0,90.0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,1,11,8.2,11.0
1,Krafth,NEW,4.4,1,0,64,1,0,64.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,10.7,0.0
1,Kristiansen,LEI,4.4,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Kudus,WHU,6.8,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Kulusevski,TOT,6.4,1,0,21,1,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0.0
1,Lavia,CHE,4.9,1,1,65,0,1,65.0,65.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,32.5,2.0
1,Lemina (Mario),WOL,4.8,1,1,90,0,0,90.0,90.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,45.0,2.0
1,Leno,FUL,5.0,1,1,90,0,0,90.0,90.0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,3,30.0,3.0
