Player UUID,Player Name,Player Name Norm,Web Name
4511a5fc-a34c-4705-9a91-77a0c8f339d1,Alexander_Tettey_289,alexander tettey,Tettey
82b7afa7-3df9-4a3e-8176-0434d6cf7484,Alexandre Jankewitz,alexandre jankewitz,Jankewitz
6fcbb20a-ae6a-4279-8aa1-14a2b8f65e56,Alexandre Moreno Lopera,alexandre moreno lopera,Alex Moreno
e75dbc9a-a6cb-4b89-a77c-08c96ba7334d,Alexandre Nascimento_Costa Silva_560,alexandre nascimento costa silva,Xande Silva
33f9904e-63e4-4226-a196-9221add414d9,Alexandre_Lacazette,alexandre lacazette,Lacazette
ffc0cf3f-bd0d-41ec-9a09-20ebf6f57e69,Alexis_Mac Allister_627,alexis mac allister,Mac Allister
3ab48610-2ce7-437b-846e-15d8ebd010a8,Alexis_Sánchez,alexis sanchez,Sánchez
f59256a9-b251-4da8-8b05-a1fe6ebabffc,Alfie Devine,alfie devine,Devine
7f5d966e-7d99-4639-88ca-1bc7ff38faed,Alfie Dorrington,alfie dorrington,Dorrington
74be8765-5eb0-4278-b2b4-40ce21f19824,Alfie Doughty,alfie doughty,Doughty
7ac9a5f4-ac1b-4537-b7d6-083e6accfafe,Alfie Gilchrist,alfie gilchrist,Gilchrist
a0f6c8f2-3970-434f-9d44-643ddb931bf8,Alfie Pond,alfie pond,Pond
3d29b917-6edc-475b-b6bd-ffcfe85c9ea6,Alfie_Jones_595,alfie jones,Jones
22beb22c-23b4-4189-8516-86789df09460,Alfie_Mawson,alfie mawson,Mawson
dde3eb2e-61be-4e54-8220-51a7df20ec37,Alfie_Whiteman,alfie whiteman,Whiteman
6165b605-38dc-41c1-9166-5ed7f117c615,Alfred_N'Diaye,alfred ndiaye,N'Diaye
1899e3bb-b8d0-4d87-9fd8-663b04f04b71,Ali Al-Hamadi,ali alhamadi,Al-Hamadi
b3c80485-4476-4a03-b8d5-f87c8922041b,Ali_Gabr,ali gabr,Gabr
2120e04a-eee5-4b4a-919b-aa028d98005a,Alireza_Jahanbakhsh_476,alireza jahanbakhsh,Jahanbakhsh
557a47a7-10ee-479a-9e5e-3f66f6813fc5,Alisson_Ramses Becker_468,alisson ramses becker,A.Becker
204ef02f-5f6e-4b36-b349-b6122c482505,Allan Campbell,allan campbell,Campbell
37a4de17-f849-4a84-b116-3c54b39a4beb,Allan Marques Loureiro,allan marques loureiro,Allan
3f4f314e-6dd2-4301-aaaa-9c305d74b55f,Allan Tchaptchet,allan tchaptchet,Tchaptchet
be8ef902-666b-43e5-bf7b-7e15aefbbecb,Allan-Roméo_Nyom,allanromeo nyom,Nyom
71412ab7-70fe-446f-b0fd-6cd857485035,Allan_McGregor,allan mcgregor,McGregor
408b7a23-1d9e-4162-8f90-30cfc20e0c82,Allan_Saint-Maximin_500,allan saintmaximin,Saint-Maximin
cc268657-46b7-46b2-9363-9063bc903253,Almen_Abdi,almen abdi,Abdi
022fb77c-7e6c-4c30-a1e8-2b7347622d1d,Alphonse Areola,alphonse areola,Areola
041e3b5b-84d8-454a-97c2-64ce79df9509,Altay Bayindir,altay bayindir,Bayindir
5efa4b90-ff03-4b62-ae08-d26d5bafc822,Amad Diallo,amad diallo,Amad
002ca703-2a3e-4a25-b1c2-03f3757180d3,Amadou Diallo,amadou diallo,Diallo
58531b54-85fe-4ae3-a114-7a7e377fc0ef,Amadou Onana,amadou onana,Onana
a0ac5ca9-4ba5-4de4-a304-a58f9d816305,Amara Nallo,amara nallo,Nallo
6de15403-d852-4a43-9e53-fe4227ab36eb,Amari'i Bell,amarii bell,Bell
91654bf8-9aae-466a-b1c5-6951fca6c7fd,Amario Cozier-Duberry,amario cozierduberry,Cozier-Duberry
b6ef71af-5e80-49c7-a0a7-245a366d0807,Ameen Al-Dakhil,ameen aldakhil,Al-Dakhil
e7eefeaa-6324-474a-a414-7d2972a5f370,Anass Zaroury,anass zaroury,Zaroury
2409832f-95ef-4827-96b1-5a4c0bce1687,Ander_Herrera,ander herrera,Herrera
a611e4ba-6edb-4f32-92d0-b65d14c009fd,Anders_Lindegaard,anders lindegaard,Lindegaard
228b426d-9b42-4d3b-8d18-264977d3d935,Andi Zeqiri,andi zeqiri,Zeqiri
5d064b95-d989-43d1-a43b-80bc7f325c38,Andoni Iraola,andoni iraola,Iraola
8183f32f-0f1b-44dc-b06c-db06519f216a,Andre Brooks,andre brooks,Brooks
77cf687a-36b4-4e58-8e52-f231e77ea601,Andre_Gray,andre gray,Gray
f63855c1-2f98-4654-830f-b8c63cfe137d,Andre_Green_32,andre green,Green
894bda90-3ca6-4f64-8c7d-cd4358aa46ee,Andrea_Ranocchia,andrea ranocchia,Ranocchia
fafca934-64e9-4d02-8ae0-bafa15af89b3,Andreas Hoelgebaum Pereira,andreas hoelgebaum pereira,Andreas
80fc3748-8f51-45f6-a686-3f87dd7603e0,Andreas Söndergaard,andreas sondergaard,Söndergaard
23751c81-764f-4d3c-b186-7144166eeea1,Andreas_Christensen,andreas christensen,Christensen
11b16d6f-11c5-4246-9766-b2b6d3f1c19c,Andreas_Pereira,andreas pereira,Pereira
d97132df-894a-4421-8576-de67e5b384ee,Andrew Moran,andrew moran,Moran
4bf492da-182b-4730-bea2-2d2b533bfe4e,Andrew Omobamidele,andrew omobamidele,Omobamidele
73d551fc-9526-4a2c-bce6-269058c162f0,Andrew_Eleftheriou,andrew eleftheriou,Eleftheriou
2a2aac08-cc9a-4ffd-b8e8-bdfd876c2742,Andrew_Robertson,andrew robertson,Robertson
d8d7a8a5-b458-4c02-8572-094a9ffdd2c7,Andrew_Surman,andrew surman,Surman
1c161dca-10d6-4de0-b64c-b0752570fb6b,Andrey Nascimento dos Santos,andrey nascimento dos santos,Andrey Santos
bccb5c12-b9db-4b3a-80da-e9981dc07067,Andriy_Yarmolenko_453,andriy yarmolenko,Yarmolenko
c73a221a-0ead-45e5-b029-b591ca7214c7,Andros_Townsend,andros townsend,Townsend
ccc5f5d4-3bdc-4239-bfc1-a913fc50042f,André Filipe_Tavares Gomes_508,andre filipe tavares gomes,André Gomes
5a98624d-1f04-4e48-8a6f-8f547911f074,André Onana,andre onana,Onana
34abbb76-cd05-4b3a-a2a3-227a5a4304fa,André Tavares Gomes,andre tavares gomes,André Gomes
472c89bd-a8b4-4404-85e8-a4a4fdf7e673,André Trindade da Costa Neto,andre trindade da costa neto,André
bd880c14-be0a-4324-b12f-a171bb98d6cc,André-Frank_Zambo Anguissa_512,andrefrank zambo anguissa,Anguissa
51bc982e-8d72-451b-8e76-3e27c3791fd3,André_Ayew,andre ayew,A.Ayew
a16d98fe-7253-4179-8bc4-e5bf1f24f125,André_Carrillo,andre carrillo,Carrillo
f8f5f845-b6e9-488d-aa90-077abef786a9,André_Schürrle_478,andre schurrle,Schürrle
94e884e8-915b-465a-873a-04e1a120d2c0,Andrés García,andres garcia,A. Garcia
ae545440-3964-4bc0-b601-7e84d3d9247d,Andy Irving,andy irving,Irving
e629c3ce-7823-487b-942d-4e7635f76047,Andy_Carroll,andy carroll,Carroll
41358d04-14f0-4628-b78b-075f69ec5532,Andy_King,andy king,King
0afd88e3-62ce-4e39-ae20-d2bd99d9258b,Andy_Lonergan_530,andy lonergan,Lonergan
6b4af713-b78e-427b-b526-3b26de73077b,Anel Ahmedhodžić,anel ahmedhodzic,Ahmedhodžić
73947519-4a7c-46c4-b279-dbb40f102cae,Ange Postecoglou,ange postecoglou,Postecoglou
bad7dfdb-a980-47b0-b2d4-33a3f097d88b,Angel_Gomes,angel gomes,Gomes
d7f946f7-103a-450c-af8c-38246e12622a,Angel_Rangel,angel rangel,Rangel
e690037a-3c37-4f6a-b6bd-836ecdc34c27,Angelo_Ogbonna,angelo ogbonna,Ogbonna
03d46389-1d60-4c8e-aa35-5aa66516d607,Angus_Gunn,angus gunn,Gunn
1201309c-b2bc-468e-b6f8-cc1d323996ad,Anis Slimane,anis slimane,Slimane
5fda4bbe-19b4-4668-8a8d-986fda158451,Anssumane Fati Vieira,anssumane fati vieira,Ansu Fati
93669c17-ab35-42a3-830e-4a42f2a857e9,Anthony Elanga,anthony elanga,Elanga
0ed74ff6-b791-4397-a9df-208fbbfc995a,Anthony Mancini,anthony mancini,Mancini
c8e9b1a7-94cb-4488-ba2c-54de16caaf44,Anthony_Driscoll-Glennon_615,anthony driscollglennon,Driscoll-Glennon
